"subj_idx","response","rt"
0,1,0.555181600007927
0,1,0.673211900022579
0,1,0.666681300019263
0,1,0.654088300012518
0,0,1.57136470000842
0,1,0.515757000015583
0,1,0.851758000004338
0,1,0.836368999996921
0,1,0.758840700014844
0,1,0.591672400012612
0,1,0.610368700014078
0,1,0.681777900012094
0,1,0.583553500007838
0,1,0.550817500014091
0,1,0.55172320001293
0,1,0.449813300016103
0,1,0.477258500017342
0,1,0.852275800018106
0,1,0.539489800008596
0,1,0.602699600014603
0,1,0.79608850000659
0,1,0.971281500009354
0,1,2.10940880000999
0,1,0.642973400012124
0,1,0.614206000012928
0,0,1.35665210001753
0,1,0.642700900018099
0,1,0.668505000008736
0,1,0.605455200013239
0,1,0.534729500010144
0,1,0.572391300011077
0,1,0.625216900007217
0,1,0.648064900015015
0,1,0.496074200011208
0,1,0.62539800000377
0,1,0.494093900008011
0,1,0.556963700000779
0,1,0.891562700009672
0,1,0.621386100014206
0,1,1.25206030001573
0,1,0.921408300011535
0,1,0.57982020000054
0,1,0.584257200011052
0,1,0.629769900013343
0,1,0.543284100014716
0,1,0.597757000010461
0,1,0.528604900013306
0,1,0.720833200015477
0,1,0.510455200012075
0,1,0.550799100019503
0,1,0.576423400008935
0,1,0.614072900018073
0,1,0.638970200016047
0,1,0.559812500010594
0,1,0.625818500018795
0,1,0.755004400009057
0,1,0.657719800015911
0,1,0.614741900004447
0,1,1.47618830001738
0,1,0.604878500016639
0,1,1.07038090001151
0,1,0.767015500008711
0,1,0.715281500000856
0,1,0.64066340001591
0,1,1.19459750001261
0,1,0.587936500000069
0,1,0.616189600012149
0,1,0.572897100020782
0,1,0.784884200009401
0,1,0.621059600016451
0,0,1.16989470001135
0,1,0.595507400008501
0,1,0.71861050001462
0,1,0.881947600006242
0,1,0.532569000017247
0,1,0.948325200006366
0,1,0.529413800002658
0,1,1.57564310000453
0,1,0.637740400008624
0,1,0.769787600016571
1,1,0.459170499998436
1,0,0.540916599999036
1,1,0.588472899999033
1,1,0.489413899998908
1,1,0.531035500000144
1,1,0.497881100000086
1,1,0.520024900000863
1,1,0.563074699999561
1,1,0.565237599999818
1,1,0.457596800002648
1,1,0.536903000000166
1,1,0.519884499997715
1,1,0.565264799999568
1,1,0.573703300000489
1,1,0.476843899999949
1,1,0.701349799997843
1,1,0.521734800000559
1,1,0.53969049999796
1,1,0.608810900001117
1,1,0.593255400002818
1,1,0.396927400001005
1,1,0.575530300000537
1,1,0.38537340000039
1,1,0.580563499999698
