target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,respFlanker.rt,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.5055807000026107,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7712898999998288,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9075182000015047,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7743712999981653,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.552823800000624,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.5453552000035415,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.5937183999994886,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6137120000021241,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0593336999991152,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.6073071999999229,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7854947999985598,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.4593237999979465,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,l,0,0.6758643000030133,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8742495999977109,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8599003000017547,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.218348900001729,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.5136012000002665,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.0634544999993523,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.5261844000015117,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6664036000001943,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0482865999983915,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.4330012999998871,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7883610999997472,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.1508114999996906,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6194896999986668,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8136421000017435,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6420002000013483,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,2.9840110000004643,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7418106000004627,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0244022000006225,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,1.1753000999997312,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
8F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,a,1,1.1728110000003653,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
8h,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,l,1,1.1115528000009363,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
a2,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,l,1,0.9957515999994939,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
8f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,l,1,1.4992339000018546,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
6a,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,l,1,0.6861110999998346,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
h6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,l,1,2.2155353000016476,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
f9,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,a,1,0.6429781000006187,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
E4,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,a,1,0.6397252999995544,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
6e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,l,1,2.166122300001007,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5G,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,l,0,1.2386089999999967,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
h3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,a,1,0.8376085000018065,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,l,1,1.1744723000010708,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
a8,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,l,1,1.2326393000003009,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,l,1,1.7050147999980254,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
3f,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,a,1,1.192256099999213,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
7f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,l,1,1.224433699997462,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
a7,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,l,1,1.3379529999983788,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5A,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,a,1,1.6433967000011762,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
8g,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,l,1,0.6865878999997221,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,l,1,1.4051558999999543,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
f7,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,l,1,0.7960923999999068,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
g9,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,a,1,0.6964291000003868,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
3h,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,a,1,0.9098159000022861,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
E6,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,a,1,1.6132337999988522,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
F6,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,a,1,0.553308400001697,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
3A,2,1,3.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,a,1,0.6648897000013676,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
8H,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,l,1,0.5511692000000039,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,l,1,0.8215854999980365,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,l,1,0.5875515000006999,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e5,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,a,1,0.9722040000015113,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
a3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,a,1,0.5535974000013084,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
f3,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,l,1,1.272891399999935,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,a,1,2.0035354000028747,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2H,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,l,1,0.8241101999992679,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
H8,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,l,1,0.5638879999969504,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9g,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,l,1,0.49568030000227736,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
5h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,l,1,0.5613432999998622,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,l,1,0.5326391999988118,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9h,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,a,1,0.6637162000006356,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
G3,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,a,1,1.9999629000012646,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
9A,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,a,1,0.7828479999989213,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
H5,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,a,1,3.4061870000005,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
4e,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,l,1,0.7078901999993832,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
E2,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,l,0,0.9625223000002734,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
A5,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,a,1,0.660314799999469,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2A,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,l,1,1.0227525999980571,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
6G,2,2,6.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,l,1,0.9391738999984227,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
H3,1,1,H,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,a,1,1.2684255999993184,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
H2,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,a,1,0.3944955000006303,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
e9,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,a,1,0.8584841999982018,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
2G,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,l,1,0.6045483999987482,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
4f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,l,1,3.1208728999990853,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
H6,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,a,1,0.6621679000018048,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
A4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,l,1,0.6507299000004423,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
3F,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,l,0,0.7402397000005294,,,,,,,,,,,,YM,f,20,2024_Apr_18_1509,mian,2021.2.3,59.97674101990075,
